URL,음식이름,재료
"http://terms.naver.com//entry.nhn?docId=1988890&cid=42785&categoryId=44169
",말린고사리나물볶음," 주재료 : 고사리(말린 고사리) 50g
 부재료 : 파(다진 파) 1큰술, 국간장 1큰술, 식용유 1큰술, 들기름 1큰술, 마늘(다진 마늘) 1작은술, 깨소금 1작은술, 물 3큰술, 실고추(약간), 통깨(약간), 쌀뜨물 2컵
"
"http://terms.naver.com//entry.nhn?docId=1989971&cid=42785&categoryId=42798
",닭가슴살샐러드," 주재료 : 닭가슴살 2쪽, 양상추 5장, 비타민(약간), 방울토마토 8개, 달걀 2개, 우리 밀가루 3숟가락, 빵가루 1/2컵, 튀김기름(적당량)
 부재료 : 소금(약간), 후춧가루(약간), 청주 0.2숟가락, 마요네즈 2숟가락, 플레인 요구르트 2숟가락, 머스터드 1숟가락, 꿀 1숟가락, 소금(약간)
 재료설명 : 닭고기 밑간 (소금, 후춧가루, 청주 0.2숟가락), 드레싱 (마요네즈 2숟가락, 플레인 요구르트 2숟가락, 머스터드 1숟가락, 꿀 1숟가락, 소금)
"
"http://terms.naver.com//entry.nhn?docId=1988232&cid=42785&categoryId=42795
",동태탕," 주재료 : 동태 1마리(600g), 곤이 100g, 무 120g
 부재료 : 양파 1/4개(50g), 콩나물 1줌(50g), 두부 150g, 애호박 1/9개(30g), 풋고추 1개(10g), 홍고추 1개(10g), 대파 15cm(30g), 쑥갓 1/2줌(25g), 황태육수 4컵(800ml), 양념장(소금 약간, 고춧가루 4큰술(20g), 재래간장 1큰술(15ml), 맛술 1큰술(15ml), 생강술 1큰술(15ml), 마늘(다진 마늘) 1과 1/2큰술(15g))
"
"http://terms.naver.com//entry.nhn?docId=1988092&cid=42785&categoryId=42795
",머랭쿠키," 주재료 : 달걀(달걀흰자) 70g
 부재료 : 설탕 125g, 바닐라오일(바닐라오일 약간)
 재료설명 : 달걀 비린내 제거 (바닐라오일)
 대체재료 : 바닐라오일 → 코코넛향 (개인의 기호에 따라 다른 향신료로 대신하여도 좋다.)
"
"http://terms.naver.com//entry.nhn?docId=1988367&cid=42785&categoryId=42787
",육회," 주재료 : 쇠고기 200g
 부재료 : 배 1/2개(200g), 마늘 6쪽(30g), 잣 1큰술(10g), 설탕 1/2큰술(5g), 양념 재료(소금 1작은술(3g), 참기름 1큰술(15ml), 대파(다진 파) 2큰술(20g), 깨소금 1/2작은술(2g), 마늘(다진 마늘) 1/2큰술(5g))
"
"http://terms.naver.com//entry.nhn?docId=1988739&cid=42785&categoryId=42787
",두부부침," 주재료 : 두부 300g, 밀가루 3큰술(15g)
 부재료 : 식용유 2큰술(30ml), 소금 1/2작은술(2g), 달걀 2개(100g), 마늘(다진 마늘) 1작은술(3g), 소금 약간
"
"http://terms.naver.com//entry.nhn?docId=1988886&cid=42785&categoryId=44169
",말린가지나물볶음," 주재료 : 가지(말린 가지) 50g
 부재료 : 들기름 1큰술, 포도씨오일 1큰술, 파(다진 파) 1큰술, 마늘(다진 마늘) 1작은술, 맛술 1작은술, 깨소금 1작은술, 참치액 ½작은술, 소금(약간), 쌀뜨물 1컵
"
"http://terms.naver.com//entry.nhn?docId=1988671&cid=42785&categoryId=42787
",계란장조림," 주재료 : 달걀 4개(200g), 당근 1/4개(50g) 부재료 : 대파 15cm(30g), 조림장 재료(양조간장 2큰술(30ml), 설탕 1큰술(10g), 후춧가루 약간, 물 3/4컵(150ml))"
"http://terms.naver.com//entry.nhn?docId=1988337&cid=42785&categoryId=42795
",돼지고기묵은지김치찜," 주재료 : 묵은지 500g, 돼지고기(돼지 목살) 200g, 김치국물 1/4컵(50ml)
 부재료 : 멸치육수 1과 2/3컵(350ml), 청주 2큰술(30ml), 대파 20cm(40g), 마늘(다진 마늘) 1과 1/2큰술(15g), 참기름 1큰술(15ml)
 재료설명 : 칼칼함을 더해주기 위해 (김치국물 1/4컵(50ml)), 돼지고기의 누린내 제거 (청주 2큰술(30ml))
 대체재료 : 돼지고기 → 멸치 (육류를 싫어하는 사람은 담백한 멸치로 대신한다.)
"
"http://terms.naver.com//entry.nhn?docId=1988349&cid=42785&categoryId=42795
",매운갈비찜," 주재료 : 돼지갈비(찜용) 500g 부재료 : 당근 1/2개(100g), 감자 1/2개(100g), 양파 1/3개(70g), 깻잎 2장(4g), 양념장(고추장 2큰술(30g), 고춧가루(매운 고춧가루) 3큰술(15g), 간장 4큰술(60ml), 설탕 1큰술(10g), 마늘(다진 마늘) 2큰술(20g), 대파(다진 대파) 2와 1/2큰술(25g), 생강술 1큰술(15ml), 굴소스 1큰술(10g), 매실청 1큰술(15ml), 청양고추 3개(30g)), 후추(후춧가루 약간), 물 5컵(1L), 대파(푸른 부분) 20cm(10g), 청주 1큰술(15ml)"
"http://terms.naver.com//entry.nhn?docId=1988697&cid=42785&categoryId=42787
",굴국," 주재료 : 굴 150g, 무 150g
 부재료 : 건고추 1개(3g), 대파 10cm(20g), 간장(재래 간장) 1큰술(15ml), 소금(소금 약간), 마늘(다진 마늘) 1/2큰술(5g), 멸치육수 4컵(800ml)
"
"http://terms.naver.com//entry.nhn?docId=1988054&cid=42785&categoryId=42795
",핫케이크," 주재료 : 밀가루 200g, 설탕 60g, 소금 1g, 베이킹파우더 6g, 달걀 1개(50g), 우유 1/2컵(100ml), 식용유 약간
 부재료 : 바닐라오일(바닐라오일 약간), 시럽(설탕 30g, 물 2큰술(30ml))
"
"http://terms.naver.com//entry.nhn?docId=1988188&cid=42785&categoryId=42795
",참치볶음밥," 주재료 : 참다랑어(참치 통조림) 1/2캔(50g), 밥 1공기(200g), 소금(소금 약간), 대파(다진 대파) 1큰술(10g), 식용유 3큰술(45ml), 참기름 1작은술(5ml) 부재료 : 양파 30g, 당근 10g, 후춧가루(후춧가루 약간) 대체재료 : 당근 → 홍피망 (기호에 따라 홍피망으로 대신하여도 된다.)"
"http://terms.naver.com//entry.nhn?docId=1988099&cid=42785&categoryId=42795
",생 초콜릿," 주재료 : 초콜릿(다크초콜릿) 140g, 밀크초콜릿 45g 부재료 : 생크림 4큰술(60ml), 무염버터 1과 1/2큰술(15g), 물엿 1작은술(5ml), 쿠앵트로 2작은술(10ml), 코코아가루(코코아가루 약간)"
"http://terms.naver.com//entry.nhn?docId=1988887&cid=42785&categoryId=44169
",무나물볶음," 주재료 : 무 200g
 부재료 : 생강 ¼톨, 소금(약간), 들기름 1큰술, 식용유 1큰술, 파(다진 파) 1큰술, 마늘(다진 마늘) 1작은술, 깨소금 1작은술
"
"http://terms.naver.com//entry.nhn?docId=1991261&cid=42785&categoryId=42788
",돼지고기 김치찌개," 주재료 : 배추김치(익은 것) 1/4포기, 돼지고기(목살) 150g, 두부 1/2모, 표고버섯 5개, 대파 1대, 홍 고추 1개
 부재료 : 생강 즙 1작은술, 청주 1큰술, 다진 마늘 1큰술, 식용유 1/2큰술, 고춧가루 1큰술, 소금 약간, 물 5컵
"
"http://terms.naver.com//entry.nhn?docId=1991314&cid=42785&categoryId=42788
",매생이국," 주재료 : 매생이 200g, 굴 200g, 조랭이 떡 1/2컵, 시판 해물 양념 4작은술
 부재료 : 물 6컵, 다진 마늘 1큰술, 참기름 1큰술, 소금 1작은술
"
"http://terms.naver.com//entry.nhn?docId=1988151&cid=42785&categoryId=42795
",고구마샐러드," 주재료 : 고구마 2개(400g)
 부재료 : 떡볶이 떡 30g, 건포도 3큰술(30g), 호두(다진 것) 2와 1/2큰술(25g), 마요네즈 2큰술(20g), 우유 4큰술(60ml), 머스터드 1작은술 (3g), 꿀 1/2큰술(5g), 소금 1작은술(3g), 식용유 1/2큰술(7ml)
"
"http://terms.naver.com//entry.nhn?docId=1991247&cid=42785&categoryId=42788
",당근 사과주스," 주재료 : 당근 1개, 사과 주스 1 1/2컵, 꿀 1큰술, 레몬 즙 1/2큰술
 부재료 : 얼음 약간
"
"http://terms.naver.com//entry.nhn?docId=1988334&cid=42785&categoryId=42795
",돼지등뼈찜," 주재료 : 돼지등뼈 750g, 당면 70g  부재료 : 삶는 물(물 5컵(1L), 월계수잎 1장(1g), 대파(푸른 부분) 10cm(10g), 마늘 6쪽(60g), 후추 (통후추) 1/3작은술(1g)), 홍고추(건고추) 2개(4g), 마늘 4쪽(20g), 대파 10cm(20g), 식용유 1큰술(15ml), 양배추(손바닥 크기) 1장(30g), 청양고추 1개(10g), 참기름 1큰술(15ml), 깨 1작은술(3g), 후춧가루(후춧가루 약간), 양념(육수(등뼈 삶은 육수) 1과 1/2컵(300ml), 생강(다진 생강) 1/2작은술(2g), 설탕 3큰술(30g), 간장(진간장) 4큰술(60ml)) "
"http://terms.naver.com//entry.nhn?docId=1991260&cid=42785&categoryId=42788
",돼지고기 고추장찌개," 주재료 : 돼지고기 300g, 두부 1/2모, 감자 1개, 애 호박 1/2개, 양파 1/2개, 청 고추 1개, 홍 고추 1개, 대파 1/2대, 팽이 버섯 1봉지, 육수 3컵
 부재료 : 고추장 2큰술, 간장 1큰술, 다진 마늘 2큰술, 다진 생강 1작은술, 맛 술 1큰술, 깨소금 약간, 후춧가루 약간
"
"http://terms.naver.com//entry.nhn?docId=1992774&cid=42785&categoryId=42794
",코다리강정," 주재료 : 코다리 2마리, 녹말가루 1/2컵, 식용유(적당량)
 부재료 : 소금 1/4작은술, 청주 1작은술, 후춧가루(약간), 고추장 1큰술, 간장 1작은술, 맛술 2큰술, 물엿 1큰술, 설탕 1큰술, 물 1/4컵
 재료설명 : 코다리 양념 (소금 1/4작은술, 청주 1작은술, 후춧가루), 양념장 (고추장 1큰술, 간장 1작은술, 맛술 2큰술, 물엿 1큰술, 설탕 1큰술, 물 1/4컵)
"
"http://terms.naver.com//entry.nhn?docId=1988416&cid=42785&categoryId=42795
",마파두부," 주재료 : 연두부 300g 부재료 : 소금(소금 약간), 홍고추 1개(10g), 대파 5cm(10g), 마늘(다진 마늘) 1큰술(10g), 생강 (다진 생강) 1/2작은술(2g), 두반장 1큰술(10g), 돼지고기(다진 돼지고기) 50g, 청주 1큰술(15ml), 간장 1큰술(15ml), 물 1컵(200ml), 굴소스 1/2큰술(5g), 후추(후춧가루 약간), 치킨파우더 1큰술(5g), 설탕 1/2작은술(2g), 녹말물(녹말가루 1큰술 + 물 1큰술) 1큰술(10g), 고추기름 2큰술(30ml)"
"http://terms.naver.com//entry.nhn?docId=1988121&cid=42785&categoryId=42795
",크림스파게티," 주재료 : 스파게티 100g, 베이컨 40g, 양파 20g, 브로콜리 25g, 밀가루 8g, 버터 15g, 우유 100ml
 부재료 : 물 100ml, 치킨스톡 4g, 올리브유 28ml, 소금(소금 약간), 파슬리가루(파슬리가루 약간), 후춧가루(후춧가루 약간)
 재료설명 : 육수대용 (치킨스톡 4g)
 대체재료 :(1) 브로콜리 → 양송이버섯 (버섯류를 넣어 야채와 함께 즐길 수 있다.)(2) 치킨스톡 → 닭고기육수 (닭뼈를 우린 물로 대신하면 더 깊은 맛이 난다.)
"
"http://terms.naver.com//entry.nhn?docId=1988213&cid=42785&categoryId=42795
",계란볶음밥," 주재료 : 달걀 2개(100g), 밥 1공기(200g)
 부재료 : 소금(소금 약간), 간장 1큰술(15ml), 참기름 1큰술(15ml), 식용유 2큰술(30ml), 깨소금 1작은술(3g)
"
"http://terms.naver.com//entry.nhn?docId=1988597&cid=42785&categoryId=42795
",콘치즈," 주재료 : 옥수수(통조림 옥수수) 3/4컵(150g),  슈레드 피자치즈 1/2컵(50g)
 부재료 : 완두콩(완두콩 통조림) 4큰술(40g), 홍피망 1/5개(20g), 소금(소금 약간), 후춧가루(후춧가루 약간), 마요네즈 6큰술(60g), 설탕 1큰술(10g)
 대체재료 : 홍피망 → 당근 (붉은색을 내주는 채소인 당근을 사용하여도 좋다.)
"
"http://terms.naver.com//entry.nhn?docId=1990873&cid=42785&categoryId=42792
",LA 양념갈비," 주재료 : LA갈비 1kg, 배 1개, 양파 1/2개, 식용유 약간
 부재료 : 진간장 5큰술, 조선간장 4큰술, 물엿 2큰술, 마늘(다진 것) 2큰술, 파(다진 것) 2큰술, 청주 2큰술, 생강즙 1/2큰술, 참기름 1큰술, 후춧가루 1작은술
 재료설명 : 양념 (진간장 5큰술, 조선간장 4큰술, 물엿 2큰술, 마늘 2큰술, 파 2큰술, 청주 2큰술, 생강즙 1/2큰술, 참기름 1큰술, 후춧가루 1작은술)
"
"http://terms.naver.com//entry.nhn?docId=1988112&cid=42785&categoryId=42795
",자완무시," 주재료 : 달걀 3개(150g) 부재료 : 소금 약간, 청주 1작은술(5ml), 은행 6알(6g), 표고버섯 1/2개(15g), 게맛살 1개(30g), 쑥갓 잎부분 3장(생략가능), 육수재료(다시마 5×5cm 2장(2g), 물 1과 1/2컵(300ml)) 대체재료 :(1) 게맛살 → 게살 (게맛살 대신 게살을 넣어도 좋다.)(2) 쑥갓 → 쪽파 (쑥갓 대신 쪽파를 잘게 송송 썰어 사용하여도 좋다.)"
"http://terms.naver.com//entry.nhn?docId=1988234&cid=42785&categoryId=42795
",녹두빈대떡," 주재료 : 녹두 1과 1/4컵(200g)
 부재료 : 멥쌀(불린 멥쌀) 5큰술(50g), 물 1컵(200ml), 소금 1/2큰술(5g), 대파 30cm(60g), 돼지고기(다진 것) 100g, 숙주 2줌(100g), 고사리(삶은 것) 100g, 배추김치 1컵(150g), 홍고추 1개(10g), 식용유 1/2컵(100ml), 돼지고기양념(후추(후춧가루 약간), 간장 1/2큰술(8ml), 마늘(다진 마늘) 2/3큰술(8g), 대파(다진 대파) 1/2큰술(5g), 참기름 1작은술(5ml), 청주 1작은술(5ml)),고사리양념(간장(재래간장) 1작은술(5ml), 마늘(다진 마늘) 1작은술(5g), 대파(다진 대파) 1작은술(3g)),배추김치 양념(참기름 1작은술(5ml), 설탕 1작은술(3g)), 숙주 양념(참기름 약간, 소금 약간)
"
"http://terms.naver.com//entry.nhn?docId=1988124&cid=42785&categoryId=42795
",탕수육," 주재료 : 돼지고기(돼지등심) 200g
 부재료 : 녹말가루 6큰술(60g), 당근 1/10개(20g), 오이 1/10개(20g), 파인애플(링모양) 1조각(100g), 목이버섯(말린 것) 2조각(2g), 완두콩 1큰술(10g), 달걀(달걀흰자 1개분) 30g, 식용유 4컵(800ml), 돼지고기 밑간 재료(청주 2/3큰술(10ml),  소금(소금 약간), 후추(후춧가루 약간)), 소스 재료(간장 1큰술(15ml), 설탕 2큰술(20g), 식초 2큰술(30ml), 물 1컵(200ml)), 녹말물(녹말가루 1큰술 + 물 1큰술)
 대체재료 : 돼지고기 → 돼지안심, 닭고기, 만두 (개인 기호에 맞춰 주재료를 바꿔 요리해보는 것도 좋다.)
"
"http://terms.naver.com//entry.nhn?docId=1988357&cid=42785&categoryId=42787
",감자탕," 주재료 : 돼지등뼈 600g, 감자 2개(400g), 우거지(우거지 삶은 것) 100g 부재료 : 무청(무청 삶은 것) 100g, 깻잎 10장(20g), 들깻가루 6큰술(30g), 대파 10cm(20g), 생강(마늘크기) 2톨(10g), 마늘(통 마늘, 돼지 등뼈 삶는용) 4쪽(20g), 된장(돼지 등뼈 삶는용) 2큰술(30g), 청주 2큰술(30ml), 대파(돼지고기 삶는용) 30cm(60g), 물 10컵(2L), 양념 재료(마늘(다진 마늘) 2큰술(20g), 된장 2큰술(30g), 고춧가루 2큰술(10g), 간장(재래 간장) 1큰술(15ml), 후추(후춧가루 약간), 등뼈 삶은 육수 6컵(1.2L), 소금)"
"http://terms.naver.com//entry.nhn?docId=1989468&cid=42785&categoryId=44169
",돼지고기김치찜," 주재료 : 돼지고기(목살) 400g, 배추김치 200g
 부재료 : 대파 1대, 마늘(다진 마늘) 1큰술, 파(다진 파) 1큰술, 생강즙(약간), 후춧가루(약간), 소금(약간), 고추기름 1작은술, 식용유 1작은술, 설탕 1작은술, 쌀뜨물 3컵
"
"http://terms.naver.com//entry.nhn?docId=1988704&cid=42785&categoryId=42787
",더덕무침," 주재료 : 더덕 150g, 고춧가루 2g
 부재료 : 고추장 10g, 식초 10g, 설탕 6g, 참기름 6g, 마늘 6g, 소금 6g, 대파 5g, 깨 3g
 재료설명 : 양념 (고춧가루 2g, 고추장 10g, 식초 10g, 설탕 6g, 참기름 6g, 마늘 6g, 소금 6g, 대파 5g, 깨 3g)
"
"http://terms.naver.com//entry.nhn?docId=1992549&cid=42785&categoryId=42794
",견과류 강정," 주재료 : 견과류(땅콩 1컵, 잣호박씨해바라기씨호두 각각 2큰술씩), 검은깨 1큰술
 부재료 : 설탕 4큰술, 물엿 4큰술, 물 1큰술
 재료설명 : 시럽 (설탕 4큰술, 물엿 4큰술, 물 1큰술)
"
"http://terms.naver.com//entry.nhn?docId=1988458&cid=42785&categoryId=42795
",야채 샐러드," 주재료 : 양배추(손바닥 크기) 2장(60g), 방울토마토 5개(100g), 적채(손바닥 크기) 2장(60g), 당근 1/3개(70g)
 부재료 : 감자 1개(200g), 깻잎 6장(12g), 채식 드레싱(두부 100g, 견과류(잣, 호두, 땅콩) 150g, 올리브유 1큰술(15ml), 샐러리 10cm(20g), 조청 2큰술(20g), 식초 1작은술(5ml), 키위 1/4개(25g))
 대체재료 : 견과류 → 피스타치오 (여러 가지 견과류로 대신할 수 있다.)
"
"http://terms.naver.com//entry.nhn?docId=1988149&cid=42785&categoryId=42795
",엘에이갈비," 주재료 : 엘에이갈비 700g
 부재료 : 밑간(청주 4큰술(60ml), 후춧가루 약간), 양념(양파 3/4개(150g), 마늘(다진 마늘) 1과 1/2큰술(15g), 생강(다진 생강) 1/2작은술(5g), 대파(다진 대파) 3큰술(30g), 간장 6큰술(90ml), 설탕 3큰술(30g), 물엿 1큰술(10g), 참기름 2큰술(30ml), 깨소금 1큰술(10g), 후춧가루 약간)
 대체재료 :(1) 청주 → 소주 (청주와 같은 효과를 내어 준다.)(2) 후춧가루 → 생강 (누린내를 더 확실히 제거해준다.)
"
"http://terms.naver.com//entry.nhn?docId=1991220&cid=42785&categoryId=42788
",김치전," 주재료 : 배추 김치 1/8포기, 실파 5대, 홍 고추 1개, 오징어 1/4마리, 홍합 100g, 밀가루 1컵, 계란 2개
 부재료 : 물 1컵, 소금 약간, 식용유 3큰술
"
"http://terms.naver.com//entry.nhn?docId=1990089&cid=42785&categoryId=42798
",양배추피클," 주재료 : 양배추 1/4통, 붉은 양배추 1/8통
 부재료 : 식초 1컵, 설탕 1컵, 물 1컵, 소금 2숟가락
 재료설명 : 단촛물 (식초 1컵, 설탕 1컵, 물 1컵, 소금 2숟가락)
"
"http://terms.naver.com//entry.nhn?docId=1988142&cid=42785&categoryId=42795
",단호박죽," 주재료 : 단호박 1/3개(300g)
 부재료 : 찹쌀가루 6큰술(60g), 물 1/2컵(100ml, 찹쌀물용), 설탕 2와 1/2큰술(25g), 소금(소금 약간), 물 5컵(1L), 찹쌀가루(새알심 용) 100g, 물(뜨거운 물, 새알심 용) 5큰술(75ml)
 대체재료 : 물 → 우유 (더 고소한 맛을 낼 수 있다.)
"
"http://terms.naver.com//entry.nhn?docId=1988410&cid=42785&categoryId=42795
",계란말이," 주재료 : 달걀 5개(250g)
 부재료 : 게맛살 3개(60g), 청주 1큰술(15ml), 소금 1작은술(3g), 설탕(설탕 약간), 다시마물(뜨거운 물 1/4컵(50ml), 다시마 5×5cm), 식용유 2작은술(5ml)
 대체재료 : 게맛살 → 야채(시금치), 해산물, 육류, 김, 치즈 (여러 가지 재료로 응용할 수 있다.)
"
"http://terms.naver.com//entry.nhn?docId=1991664&cid=42785&categoryId=42789
",매운 돼지갈비찜 양념," 주재료 : 다진 마늘 2큰술, 흰 대파 4줄기, 생강 2개, 청량고춧가루 1과1/2큰술, 고춧가루 3큰술, 청량고추 2개, 양파 2개, 파인애플 130g, 간장 40mL, 육수 200mL, 정종 50mL, 미림 50mL, 참기름 2큰술, 통깨 1큰술, 설탕 3큰술
 부재료 : 통후추 1/2큰술, 월계수잎 3장, 통마늘 3쪽, 통생강 1개, 양파 1/2개
 재료설명 : 돼지고기 삶을 때 향신료 (통후추 1/2큰술, 월계수잎 3장, 통마늘 3쪽, 통생강 1개, 양파 1/2개)
"
"http://terms.naver.com//entry.nhn?docId=1988220&cid=42785&categoryId=42795
",안심스테이크," 주재료 : 쇠고기안심(스테이크용 안심 두께 1cm 이상) 400g, 올리브유 3큰술(45ml)
 부재료 : 새송이버섯 1개(80g, 가니쉬용), 양송이버섯 2개(30g, 가니쉬용), 마늘(다진 마늘) 1/2큰술(5g), 소금 약간, 후추(후춧가루 약간), 버터 3큰술(30g), 양송이버섯 5개(75g), 양파 3/4개(150g), 밀가루 3큰술(15g), 토마토페이스트 2큰술(30g), 우스터소스 8큰술(120ml), 발사믹식초 1/2컵(100ml), 레드와인 1/4컵(50ml), 닭육수 1컵(200ml), 건포도(불린 건포도) 2큰술(20g)
"
"http://terms.naver.com//entry.nhn?docId=1991485&cid=42785&categoryId=42788
",핫케익," 주재료 : 핫케이크 가루 4컵, 우유 1 1/2컵, 계란 4개, 버터 적당량 부재료 : 설탕 6큰술, 물 6큰술, 계핏가루 약간 대체재료 : 계핏가루 → 코코아 가루"
"http://terms.naver.com//entry.nhn?docId=1991135&cid=42785&categoryId=42792
",황태채무침," 주재료 : 황태채 60g, 양파 1개, 배 2/3개, 물 1/2컵, 실파 3뿌리
 부재료 : 고추장 1큰술, 설탕 1큰술, 간장 1작은술, 고추기름 1작은술, 마늘(다진 것) 1/2작은술, 참기름 1작은술, 깨소금 1/2작은술
 재료설명 : 양념 (고추장 1큰술, 설탕 1큰술, 간장 1작은술, 고추기름 1작은술, 마늘 1/2작은술, 참기름 1작은술, 깨소금 1/2작은술)
"
"http://terms.naver.com//entry.nhn?docId=1990814&cid=42701&categoryId=42709
",육회," 주재료 : 쇠고기(우둔) 90g, 마늘 3쪽, 배 ¼배, 잣 3알, 종이 1장
 부재료 : 간장 1작은술, 설탕 1큰술, 다진 파 1작은술, 다진 마늘 ½작은술, 후춧가루 ¼작은술, 깨소금 ½작은술, 참기름 1큰술
"
"http://terms.naver.com//entry.nhn?docId=1989768&cid=42785&categoryId=44169
",모닝빵샌드위치," 주재료 : 모닝빵 8개, 오이 1개, 당근 1개, 감자 2개
 부재료 : 소금(약간), 흰 후춧가루(약간), 마요네즈 2큰술, 설탕 1작은술
"
